Name,Ratings,Review,Cost(₹)
Pratik B.,4.0 out of 5 stars,"
I purchased this beast at slightly less than 30K INR, for the 64 gig variant, which retailsat around 60K INR . The price had dropped to 43K in the Big Billion Sale days, and I got discount of 11500 INR in exchange  of my two month old Redmi Note  5 Pro along with an additional  discount of 2000 for purchase via SBI Debit card. This phone is at the time being sold at 57900 INR (before exchange discount) on flipkart.As you can understand,  this deal was an absolute bargain and while I was not intending to purchase a mobile as I had recently  purchased one, but I simply couldn't  resist from buying the latest flagship at 50% off!I had some reservations regarding the steep discounts and the fact that this phone had only about 30 ratings here did not help, but I took a leap of faith and boy, did it pay off so well!I am not going to dwell into the many amazing  pros it has, for you can simply  check out hundreds of review videos out there on YouTube.  The only drawback I noticed was the sub par battery life, as it seems to run out of juice in around 11 hours. It helps that it comes with fast charging, that fully charges the phone in around 100 mins.However, I cannot stress enough as to how happy and satisfied I am with this phone, even more so considering I bought it at 50% off!
",27800.0
Nagesh.B,1.0 out of 5 stars,"
ZERO STAR Please all dont buy this product it has screen issue , returned the phone after 2 hour of usage. the screen gets 3 to 4 lines on display & phone automatically switch off. this phone are not proper original genuine piece. its feels like it may have been all ready used by others..  i got defect used product i will never ever buy online again...
",27800.0
Aman,2.0 out of 5 stars,"
Defective one recieved. Sim tray not come out of the phone. Bad experince as a amazon prime customer.
",27800.0
Amazon Customer,1.0 out of 5 stars,"
Bought this phone. Samsung service centre has raised a ticket aftrt checking thoroughly stating that product is defective. Motherboard gone. but Amazon states its own engineers need to check before they pick for return. Can you believe when manufacturer says his product is bad Amazon is creating troubles. My suggestion buy electronic goods through stores. Else you will keep shuttling between Amazon and service centres. A lesson learnt at huge price.
",27800.0
Paritosh,1.0 out of 5 stars,"
The phone was great. Working perfectly. Smooth, the camera is great, the display too. Worth the 44k I spent. But the box, if observed carefully, it shows how cunningly the seller had reopened this box and resealed this device multiple times. Making it more of a refurbished product than a new one. Kindly check if this happens with you, return it within the due date, otherwise Amazon people will not be helping at all.
",27800.0
DILEEP M NAMBIAR,5.0 out of 5 stars,"
It's a great phone. My first Samsung device. Camera is awesome. Battery- Medium power saving mode gives up to 18-20hrs usage with screen on time is 4½-5hrs on LTE.It depends on usage with no heavy gaming. Just fb.insta.whatsap. Hard to get a tempered glass for this S9. 4gb ram is not sufficient for this phone. Display is best.After 8 months usage.Using JioFi always connected for internet.Better battery backup now .Screen on time is still same.Phone has no issues. Really durable.Good to go.
",27800.0
Ashwin SIngh,5.0 out of 5 stars,"
Its my first big purchase during sale, and totally worth it, Midnight Black looks quite good to be honestProsCamera - ExcellentProcessor - No Lag at all, tested with running 19 major apps simultaneouslyOS - This phone is feature loaded, excellent, UI / UX customization at its bestDisplay - Edge to edge display is Wow, just WOW :)Also along with fast charging and, 4 out of 5 on earphones they are quite goodConsOnly thing that i didnt like about this flagship smartphone is BATTERY, It didnt even last for a full day normal use !! Why samsung why, its almost perferct !! Almost
",27800.0
Ashith Bilimale ,5.0 out of 5 stars,"
Awesome mobile and thanks to Amazon festive deal.
",27800.0
viswa,1.0 out of 5 stars,"
My home button stopped working after 10 days and because of the return policy I am unable to get my phone replaced because amazon refuses to take the phone back and when I contacted Samsung they say it's amazon's problem even though it has a 1 year manufacturer's warranty . I'm stuck with a defective phone that I paid 45k for. Never have I faced such a hell to get a phone replaced. Sold by STPL exclusive
",27800.0
nishanth v,4.0 out of 5 stars,"
I saw this phone at a store, it's screen was not even on and I got attracted to the black pebble like design. Then i turned the screen on and fell for this beast of a device.I am someone who like compact phone and it had been my main criteria for buying a phone and was using iPhone SE prior to buying S9. After seeing apple kill the 4"" phones and lack of innovation in compact design phones (well maybe Sony being one exception) i decided to buy a flagship with oled and wireless-charging capabilities. I did briefly thought about getting an iphone 7 or 8 but it was too expensive for what tech it was offering. Huawei mate20 pro came close but i got repelled by the notch (I love symmetry).Left with no choice I turned to Samsung devices which i originally hated because of how their performance ages with time but after looking at Galaxy S9, holding and using one, my mind was made up to get a midnight-black Galaxy S9. Sought out all the reviews and articles about the phone on web. They all echoed same things: Best display, better speaker, good camera but bad battery life and many suggesting S9+ over S9 (500mah more juice) but coming from compact phones, S9 itself felt way big of an upgrade for me so I stuck with it. After few days, I happen to find this great deal on Amazon where this seller had put up a black S9 with 64gbs for 43K INR and 2day delivery too!! I thought to myself, I will not get such a deal for sure (well untill S10 is released) and went ahead and booked it.After getting the device, out of the box, it had only 44% battery then i charged it up. after using first couple of days, the overwhelming battery inefficiency undermined all other beautiful design features, amazing screen, stereo speakers which are loud, very good camera and a HEADPHONE JACK. I actually thought of returning/exchanging the phone but kept using it.After using it a week now. I can surely say I made the right decision by buying this phone. Fast charging and wireless charging capabilities masked all the poor battery life and also i started enjoying the beastly performance, vivid colors of this super Amoled screen, with the right size of the screen, it made viewing images/video and reading very comfortable. On top of all this, Samsung's edge display is a head-turner for sure.I wish I could use the phone which a case to show off the solid and neat design of the phone then it would just slide off my hands back to Korea.All in all, this is a great phone, I would recommend to all android users. I hope samsung's upcoming One UI holds up to its expectations (eagerly waiting for the night mode) keeping my fingers crossed that engineers ant Samsung try to make S9 more battery efficient with new updates.Cheers.
",27800.0
Ansh,4.0 out of 5 stars,"
This is my second S9. What I like in S9 :-1. Beautiful construction.2. Excellent stereo sound.3. Compact.4. Excellent super slow motion video (enough light required).5. Good day time photography.6. Excellent bundled earphone.7. One UI.Don't like:-1. Obviously Battery, maybe because of android OS or Samsung's OS optimisation.2. Bloatware.3. Front camera ( Quality is not good at all)4. Rear camera at night time
",27800.0
Simran k.,1.0 out of 5 stars,"
Amazon selling defective products...this s9 phone that i just bought has zero battery back up... and they re not even returning the product..i want refund.. else i will file consumer court case against amazon
",27800.0
tapas chakrabarti,5.0 out of 5 stars,"
One of the lightest and most user friendly  premium  flagship  phone  from  Samsung. The display  is gorgeous. The design  so economic you  can hold it in one hand  and operate for a very long time. I was divided  between  one plus 6 and galaxy s9  but jumped  the gun when I saw the unbelievable  price at which  Amazon  was selling it. Being  a loyal  prime member  I got early  access to the deal and bought  this beauty at an unbelievable  price. The camera and display  are.the best among  all smartphones  available today. I am not a gamer so for  me the most  important  things were the display  as.i read.a lot on my phone. I also wanted a handy compact  small and lightweight  phone  which  would be  aesthetically  pleasing  and the s9 fulfils all the above  conditions .If you are an avid gamer  you  may try one plus 6.But the truth  be said Samsung galaxy s9  remains  the true flagship  phone  of 2018 and the most  beautiful. Last  but not  least  I must  thank Amazon  for  providing  this flagship  beauty  at an unbelievable  price. The delivery  took only two  days  although  it is the  sale  seasonThank you team Amazon.
",27800.0
