Name,Ratings,Review,Cost
sier_65nkj7,5 out of 5 stars,Excellent Gamepad!,9977.9
sasams-p256yk,3 out of 5 stars,"Not as good as Xbox One S controller, but good",9977.9
jesj_us_19uoyeon,5 out of 5 stars,Made great gifts,9977.9
sethv1414,5 out of 5 stars,Convert Forces Controller,9977.9
kz07jd,5 out of 5 stars,Much better than the 360 Slim I used to have,9977.9
danchrisronan24,5 out of 5 stars,Awesome!!,9977.9
fazejay65,4 out of 5 stars,JUST READ,9977.9
lethalsantiago,5 out of 5 stars,Xbox Controllers,9977.9
goforgold42,1 out of 5 stars,"I wish to return this item, since I cannot use it as I wanted to.",9977.9
zykirion,5 out of 5 stars,New car smell?,9977.9
devipac-0,5 out of 5 stars,Great Controller!,9977.9
cwmi1677,5 out of 5 stars,Wireless  controller,9977.9
davihinrich-7,4 out of 5 stars,Good buy,9977.9
kevia12,5 out of 5 stars,Nice!,9977.9
hernameishendrix,5 out of 5 stars,armed forces controller,9977.9
chrileagu_0,5 out of 5 stars,Great item,9977.9
job70_8,5 out of 5 stars,Great controller!,9977.9
antlers_up,5 out of 5 stars,Better than an original controller,9977.9
dan102498,5 out of 5 stars,Very happy!,9977.9
rj.kickz,5 out of 5 stars,Very good product,9977.9
alvarez-j23,5 out of 5 stars,"Brand new, great buy",9977.9
domrrm-th1uk2z2m8,5 out of 5 stars,5 FREAKIN STARS!!!,9977.9
donghul_0,5 out of 5 stars,Like this special edition,9977.9
uskevi_9xef8mdlu,5 out of 5 stars,Great Controller!,9977.9
arilogon,5 out of 5 stars,Excellent control set for the gamers,9977.9
airpierre,4 out of 5 stars,Works just fine,9977.9
kschrader.2007,5 out of 5 stars,Great controller for a great price,9977.9
lineus-mxm48xqg,5 out of 5 stars,My review,9977.9
coolsafe4,5 out of 5 stars,Great conditiom great value,9977.9
janoll876,5 out of 5 stars,Awesome,9977.9
mmma_us_s2ii14l4,5 out of 5 stars,✌️,9977.9
chaister,5 out of 5 stars,It was great to get a used product that was as described. Works great.,9977.9
bigmac25801,5 out of 5 stars,"good controller, better price",9977.9
jibid_0,5 out of 5 stars,Noiceee,9977.9
jeremyw66,2 out of 5 stars,"Cheap, but not the greatest",9977.9
blesschilddee1-8,5 out of 5 stars,Review,9977.9
jobanuelos,5 out of 5 stars,Excellent Product,9977.9
dadriagopau_0,5 out of 5 stars,Best,9977.9
iikingtrey,5 out of 5 stars,Excellent,9977.9
zepete-9,5 out of 5 stars,Good,9977.9
ty.ty49,5 out of 5 stars,Awesome,9977.9
brian5941,5 out of 5 stars,Xbox one controller,9977.9
storeeffect,5 out of 5 stars,Amazing,9977.9
ajg373-4,5 out of 5 stars,Great buy,9977.9
jas4511,5 out of 5 stars,Cool controller,9977.9
mhuma0185_tzuta...,5 out of 5 stars,Great controller,9977.9
wiccangrlmj,5 out of 5 stars,My son loves it.,9977.9
gordondillon,5 out of 5 stars,excellent price,9977.9
doublejackncoke,5 out of 5 stars,Good controller,9977.9
marcaineasunder,5 out of 5 stars,Microsoft Xbox One Special Edition Covert Forces Wireless Controller,9977.9
clarice4435,5 out of 5 stars,My son loved,9977.9
steelman434,5 out of 5 stars,Perfect Addition,9977.9
josea7814,5 out of 5 stars,very good item for a great price!,9977.9
svdaje,5 out of 5 stars,Xbox one camo controller,9977.9
builder4u2011,5 out of 5 stars,"Looks Stealth, Works Great! it""s True Fast & Free",9977.9
neve_katr,5 out of 5 stars,Exactly as expected,9977.9
dennifran_7,5 out of 5 stars,Very good controller,9977.9
bertirenteri_0,5 out of 5 stars,AMAZING,9977.9
p00kb449,5 out of 5 stars,Works perfectly,9977.9
randycaine1,5 out of 5 stars,Nice!,9977.9
13sugargirl13,5 out of 5 stars,Made for gamers,9977.9
