Name,Ratings,Review,Cost(₹)
6197340us,5 out of 5 stars,Utilitarian and extremely reliable,747.02
waktosha73,3 out of 5 stars,Casio A158w,747.02
rplntslc,4 out of 5 stars,Good for price & Purpose,747.02
evgaldieri,5 out of 5 stars,100% Authentic,747.02
toijoki,5 out of 5 stars,Great genuine Casio watch,747.02
lionn1970,5 out of 5 stars,Great Watch,747.02
lsdotcom12,4 out of 5 stars,As advertised,747.02
dannysasaki,4 out of 5 stars,Old time's sake,747.02
ludvig2009,5 out of 5 stars,Top quality watch.,747.02
merim_10,5 out of 5 stars,Fantastic value,747.02
filuberaht,5 out of 5 stars,Style for almost free,747.02
kartoon1st,5 out of 5 stars,Love it!,747.02
6420f5e9392500f...,4 out of 5 stars,CASIO REVIEW,747.02
americandream1971,5 out of 5 stars,Casio Digital,747.02
tv46370,5 out of 5 stars,Great watch,747.02
ule.2013,5 out of 5 stars,Lightweight with nice design,747.02
waktosha73,3 out of 5 stars,Casio A158w,747.02
hivitles,5 out of 5 stars,Casio Retro Watch,747.02
johnboy1947,5 out of 5 stars,GREAT WATCH!!!!,747.02
vladi1971,5 out of 5 stars,Great value....Great quality....I hace has same watch for over 30 years,747.02
lelodani,5 out of 5 stars,great watch,747.02
escal_9,3 out of 5 stars,Ok for the price the band is not so good,747.02
trajko98,5 out of 5 stars,"Lightweight, great features, great price.",747.02
idjmikey94,5 out of 5 stars,My Best Watch,747.02
sweetearsdoctorwho,5 out of 5 stars,Good Product,747.02
lmyth92,5 out of 5 stars,Casio brand,747.02
indefatigablegobo,5 out of 5 stars,Good watch.,747.02
bobwell_pmegaikyg,5 out of 5 stars,Great watch,747.02
ura.us.ny82w2,5 out of 5 stars,Good and Affordable Watch,747.02
michaebrewste-3,5 out of 5 stars,I would give this product high points.,747.02
homegrown4446,5 out of 5 stars,"Excellent value in a good timekeeping watch.  Easy to set, nice metallic band that won't absorb perspiration and 'stink'.",747.02
rjsakowski,5 out of 5 stars,Good Value,747.02
ggddaaeenyc,5 out of 5 stars,Great inexpensive watch,747.02
andrevlas-0,1 out of 5 stars,Poor product of a Casio,747.02
ushuai,5 out of 5 stars,Great classic style!,747.02
worldoftomorrow...,5 out of 5 stars,Great Looking Retro-Casio Watch,747.02
mofomoto,5 out of 5 stars,excellent watch and value,747.02
2015.quode,4 out of 5 stars,Minor flaw,747.02
aurbald58,5 out of 5 stars,Good quality,747.02
zodiakashell,5 out of 5 stars,Excellent,747.02
alzphilosophos,5 out of 5 stars,Lightweight with good quality,747.02
nunga.2015,4 out of 5 stars,Nice retro model watch.,747.02
petevanatk_0,4 out of 5 stars,"ok, I guess for 5 years if it lasts that long",747.02
goyaf00,5 out of 5 stars,ffordable and stylish watch,747.02
vet033,5 out of 5 stars,things never die,747.02
us-tiuma,5 out of 5 stars,Nice watch!!!,747.02
9-85757,5 out of 5 stars,часы casio,747.02
thijs-wille,3 out of 5 stars,Good and reliable watch,747.02
rlm8853,2 out of 5 stars,"Good watch, lousy band",747.02
pske2256,3 out of 5 stars,good watch bad night light,747.02
jse_dk_zhj2ygc,5 out of 5 stars,"Good Watch, Good price!",747.02
rags405,5 out of 5 stars,Nostalgia on a budget,747.02
perj0,5 out of 5 stars,awesome watch,747.02
yyz-375,5 out of 5 stars,Just like the original,747.02
quge101,5 out of 5 stars,Casio A158W-1 Unisex Classic Silver Digital A158 Sports Watch WR,747.02
mujo619,5 out of 5 stars,Great original watch,747.02
lynepr-hg12h,5 out of 5 stars,Very happy,747.02
9.66398,5 out of 5 stars,Прекрасные часы.,747.02
lerturovskay_0,5 out of 5 stars,еее часыы,747.02
gorbachyov-2,5 out of 5 stars,Gorgeous watches,747.02
ou_507,5 out of 5 stars,Easy to read,747.02
eduardomapilele,5 out of 5 stars,Casio for Generations,747.02
milo494,5 out of 5 stars,perfect work watch,747.02
al_746018,2 out of 5 stars,Watch,747.02
afk96ebvc4,5 out of 5 stars,Good watch got to tell me in a timely manner,747.02
rafabarr,5 out of 5 stars,customer information,747.02
deravini,5 out of 5 stars,Watch,747.02
732_dar,5 out of 5 stars,Best Watch,747.02
zorro70_2013,5 out of 5 stars,"Great retro feeling  I'm happy with this purchase.  Working reliable , good quality level and perfect look.",747.02
zercurious,5 out of 5 stars,Nostalgia,747.02
vyach.ru2015,5 out of 5 stars,All ok,747.02
n1ck**,4 out of 5 stars,nice watch,747.02
ruthsanchez1950,5 out of 5 stars,CASIO watches are always good!,747.02
denru-afllfbq8,5 out of 5 stars,Классные часы,747.02
burgermeister63,3 out of 5 stars,Casio digital watch,747.02
dariosuzuki1989,5 out of 5 stars,Very cool watch,747.02
dickday43_1,5 out of 5 stars,love it,747.02
mariannbeni75,5 out of 5 stars,+++ I really like the Japanese people :P I love the Japanese things (Canon Suzuki Pentax Japan tea -novels) Thanky the tea :P,747.02
steelspikes,3 out of 5 stars,What I expected,747.02
lozarg2007,5 out of 5 stars,Хорошие часы,747.02
hagara,1 out of 5 stars,Great cheap watch.,747.02
omaralduais09,5 out of 5 stars,Always in style,747.02
paperphile,5 out of 5 stars,"Great watch at a great price! Strong, slim, and retro.",747.02
fredbah,5 out of 5 stars,This is what I need.,747.02
jackel1955,3 out of 5 stars,Small Problems,747.02
ravensgo1860-0,5 out of 5 stars,Cool watch,747.02
vicfong2719,4 out of 5 stars,Excellent,747.02
prell49,4 out of 5 stars,Nice Watch,747.02
gilbert0852,5 out of 5 stars,Casio absolutely the best.........,747.02
gunsmokescj38n5,1 out of 5 stars,Casino Watch,747.02
e-dan27,5 out of 5 stars,Quality...,747.02
snm21868,5 out of 5 stars,Heavy Duty Watch,747.02
nikeala,5 out of 5 stars,Casio Watch,747.02
icesteps,5 out of 5 stars,Arigato!,747.02
ersacom,5 out of 5 stars,Original Casio,747.02
asachaudr_0,5 out of 5 stars,Good watch,747.02
swiss7013,5 out of 5 stars,Affordable quality with retro touch,747.02
2015prnane,5 out of 5 stars,Casio watch,747.02
the_lion_from_h...,5 out of 5 stars,"Basic and Solid. If what you need is a watch without unnecessary functions, you should have this one.",747.02
presi3916-bxgdv...,5 out of 5 stars,I liked because is light and cobfortable.,747.02
celimarsm,4 out of 5 stars,Bueno,747.02
