Name,Ratings,Review,Cost
Amazon Customer,5.0 out of 5 stars,"
Bought this for my gaming desktop. People who got a concern about the controller’s compatibility with the desktop, let me clarify it is actually a very simple process. “You just have to buy a regular bluetooth dongle (if your desktop doesn’t have in-built bluetooth connectivity).Also, do not install any drivers from the CD which you’ll receive along with the bluetooth dongle, you just need to connect the dongle to your desktop and your windows 10 will automatically install the required softwares/drivers and you are good to go! You can see your xbox controller’s connection in window’s setting > devices.
",4180.0
Akrathor Zilork,1.0 out of 5 stars,"
Terrible support. 90 days warranty. No repair options.My controller failed on day #100. Support recommendation: ""throw it in the trash and buy a new one"".All Microsoft is saying that it does not stand by its products.Buyer beware.
",4180.0
Rituraj Burman,2.0 out of 5 stars,"
After using it for just 2 months the product has problems firstly Left LB is showing signs of dying secondly just encountered the Left Analog Stick started rolling in the grip area. Overall bad experience as product of such a high price is dying in just 2 months.If there is warranty support or repair support anyone or the seller/Amzon please help.
",4180.0
Debrup Chakraborty,5.0 out of 5 stars,"
A great gamepad to buy if you are looking for one. It is compatible with both Win10 PC and Laptops and with the Xbox . You can use it wirelessly by connecting via bluetooth and power source is 2 AA Batteries which comes along with the product later on it can be changed with any aa batteries available in the market & also a chargeable battery with its power cord is available but one have to buy it separately.
",4180.0
SUMIT KUMAR SHAW,5.0 out of 5 stars,"
I am using it by USB cable and it work flawless in windows 10. It's vibration feedback is awesome. Feel very real. Delivery is very fast with in two days. Services from amazon and cloudtail is getting very good now a days. Bluetooth compatibility is not tested yet. But I assure that Bluetooth Compatibility also work good. Use good Bluetooth device in PC for connectivity in Windows 10(Updated). It also support in ANDROID DEVICE (android pie). So you can play PUBG, SHADOW FIGHT 3. Still using works great. No any problem has been seen yet. If you have any Bluetooth connectivity issue then you should try this:1) Use good SMPS (POWER SUPPLY) like CORSAIR VS450 OR VS550 also Good motherboard.2) You should use windows 10 latest updated OS in PC.
",4180.0
hackrush,5.0 out of 5 stars,"
As a user of the previous gen X-Box 360 controller and DualShock 4 I can say that I like this much more than those two. The weight and balance of this controller is perfect, and I'm seamlessly able to connect it with bluetooth with my Desktop and Laptop(Windows 10). The wired connection works good too and the response time is near instantaneous with both.Trigger rumbles are ONLY supported by games bought from windows store.Using approx. 2100mAh Ni-Cd battery is recommended and it should last you for about 4-5 weeks of casual gaming(12-14 hours per week avg. usage).
",4180.0
Sanjay,5.0 out of 5 stars,"
amazing, its so nice to play with this controller, i am using this with my pc with usb cable , having trouble to play with BT as it gets disconnected, i am sure that the problem is with the my USB BT and not the controller, waiting to update my Windows 10 to anniversary update, which i have read that i will solve this problem. all together, wonder ful product, worth buying it.
",4180.0
Rakshit,5.0 out of 5 stars,"
This was purchased as a discretionary alternative to the black one that came with the Xbox One, especially since it had begun giving me a lot of ""disconnected"" warnings lately. Sure enough, the 3.5mm jack on this one really helps. The black one had a 9-pin adapter type headset, which didn't work even once for me. So I just gave up the idea of interacting on multilayer altogether. It has a matt white finish, so it doesn't attract fingerprints, but in our dusty Gurgaon, every spec of dirt shows up on it. My wife thinks more favourably of wanting to play with the white one, as it's various buttons (RS, LS, RB, LB, LT, RT, A, B, X & Y) are visually more identifyable & she has had a difficult time coordinating with a merged set of black buttons previously. So 5 stars for the wife being able to play 2 player now! Hurrah!
",4180.0
Ankush Bhowmik,5.0 out of 5 stars,"
Great packaging from Microsoft. The box included the new Xbox One S controller with 2 batteries. Overall a great experience and the controller is really smooth and the vibration gives good feedback. Plus, it has inbuilt Bluetooth which pairs quickly with your PC(I don't have an Xbox). A great buy , you have to purchase it to believe it. Probably the best controller for PC gaming.
",4180.0
Amazon Customer,5.0 out of 5 stars,"
This controller is one of the best looking controllers i have purchased and trust me when i say this but i have purchased a lot of controllers.Shipping and handling - No complains from me.Working of the controller - The controller works amazing. Yes the battery will drain out quickly since it uses Bluetooth connection to connect to your pc but when i say quickly i mean around 7-8 hours. I would recommend getting Duracell batteries instead of the normal Eveready batteries with which the controller lasts for around 3-4 hours or maximum of 5.If you face any issues- I bought the controller and found that the A button kept getting stuck. So i contacted Amazon and thet told me they cannot do anything since it's a non refundable and non replaceable product and asked me to contact Microsoft. Before doing that i tried one of the tips from YouTube that suggested me to rub some Rubbing alcohol on the buttons. Since i couldn't find the liquid one, i got the alcohol swab(It's much easier to find the swab than the liquid here). Anyways i did what i was told and yes the button went back to normal. Is it a permanent fix? Don't know, but if it works why not just keep doing that instead of waiting for a reply from Microsoft.What to do if you face this issue?I would suggest doing the same thing as i did and rub some Rubbing alcohol or swab on the buttons, clean them and see if it works. If it doesn't fix the issue for you, then you can contact Microsoft. No point in contacting Amazon as the product clearly states it's not refundable.Now for the real question, should you buy this?My answer - Yes! Definitely. If you have the money and wanna try it go for it. It's Highly unlikely that you'll get a faulty product this day but even if you do, contact Microsoft (when i say faulty, i mean completely bricked controller), otherwise you can try the method i have mentioned above or you can simply just go for the Red Gear controller. But having used the Red Gear and many many more controllers, i am guaranteeing you, this is the one you want if you can buy it.Take it easyThanks
",4180.0
