Name,Ratings,Review,Cost(₹)
sunncal29,4 out of 5 stars,Just as describe,59159.6
ashlepul-6,5 out of 5 stars,Excellent,59159.6
lemhtur,5 out of 5 stars,"Great Apple laptop Mac Air ,fast and light weight.",59159.6
terbunc_0,5 out of 5 stars,Love it!,59159.6
vladimirbulgaru,5 out of 5 stars,"Light, amazing battery life, great durability and impressive performance!",59159.6
anisa.mahdi,5 out of 5 stars,LOOKS AND WORKS LIKE NEW!,59159.6
chuckb,5 out of 5 stars,"Lightweight with some nice features,and lots of memory..",59159.6
mamalynnshops,5 out of 5 stars,Apple MacBook,59159.6
jorge200800,5 out of 5 stars,Best machine ever,59159.6
lexybardin,4 out of 5 stars,Perfect for college!,59159.6
teassa,5 out of 5 stars,MacBook Air,59159.6
hughssons2005,5 out of 5 stars,Product is GREAT!,59159.6
bobbiwebb,5 out of 5 stars,Lightweight with great features,59159.6
dinhtru,5 out of 5 stars,Worth the Money!,59159.6
thomasmbrendon2012,5 out of 5 stars,Pleasantly Surprised,59159.6
dlttomic,5 out of 5 stars,Very Satisfied,59159.6
luluokim,5 out of 5 stars,Great for university students,59159.6
seenief,5 out of 5 stars,Fabulous. With one exception,59159.6
col_5707,5 out of 5 stars,Bought MacBook Air,59159.6
jasony9992000,5 out of 5 stars,About the MacBook Air,59159.6
firouz.asgarzadeh,5 out of 5 stars,Great product,59159.6
yuliang2012,5 out of 5 stars,Lightweight w/ great features,59159.6
dexa-us2014,4 out of 5 stars,Love it,59159.6
ramparr10,5 out of 5 stars,Made wife happy,59159.6
aztec_trading,5 out of 5 stars,Great so far!,59159.6
bao.linh18-3,5 out of 5 stars,The best electronic device I have ever bought online,59159.6
dedmond22,5 out of 5 stars,Extremely lite weight,59159.6
bogeyfree61,5 out of 5 stars,"Thin, lightweight and a great Apple product.",59159.6
4mc96,5 out of 5 stars,Just as expected!,59159.6
johna20102010,5 out of 5 stars,Great product / Quality / ease of use/ fantastic,59159.6
mrsshannohaye_0,5 out of 5 stars,Gift,59159.6
dboljr16,5 out of 5 stars,"So far, amazing.",59159.6
scamp1986,5 out of 5 stars,Awesome product.,59159.6
emjen_4675,5 out of 5 stars,Macbook Air,59159.6
mosest19,5 out of 5 stars,Most lightweight laptop with all Apple tech,59159.6
afay8149,5 out of 5 stars,Great laptop!!!!!,59159.6
aademaki,5 out of 5 stars,First macbook,59159.6
rasil_8878,5 out of 5 stars,Would Recommend!,59159.6
roleen760,5 out of 5 stars,Amazing price!,59159.6
juantheman718,5 out of 5 stars,You can never go wrong with a MacBook Air!,59159.6
elwynholder,5 out of 5 stars,Great Apple product,59159.6
boulevardautoex...,5 out of 5 stars,Price high,59159.6
edanny56,5 out of 5 stars,Great computer and great value!,59159.6
fre.frwa.n8i7xb,5 out of 5 stars,Awesome,59159.6
claudieunic0,5 out of 5 stars,"Im so happy with my MacBook!! Was delivered at time!! That’s perfect, I love it 😍",59159.6
how2sav-24,5 out of 5 stars,So worth buying! ,59159.6
jasobug_4,5 out of 5 stars,Just As Expected,59159.6
chrsschlttrbck,5 out of 5 stars,Awesome,59159.6
catherinuchid_0,5 out of 5 stars,Great!,59159.6
wjshipman,5 out of 5 stars,"Good, but not much change since the 2014 model",59159.6
taannun-0,5 out of 5 stars,Very happy,59159.6
jlarsenhill,1 out of 5 stars,Dented and beat up,59159.6
hiral-gonza,5 out of 5 stars,is very good im love,59159.6
ricosuavemalave571,5 out of 5 stars,Best Laptop money can buy!!,59159.6
lauraxwp,5 out of 5 stars,Reliable,59159.6
riperal96,5 out of 5 stars,I love my new laptop!,59159.6
ebonbrow-67,5 out of 5 stars,ABSOLUTELY PERFERC,59159.6
naiduch,5 out of 5 stars,I am happy with my purchase though 2018 model he are also cheap,59159.6
northoma2,5 out of 5 stars,Super excited about my Mac,59159.6
april7713,4 out of 5 stars,Air book is thin and does not weight much,59159.6
frekledan,5 out of 5 stars,Peas & carrots,59159.6
daddy_chappie,5 out of 5 stars,Great purchase.,59159.6
kmc0511927,5 out of 5 stars,Perfect Condition!,59159.6
travanci,5 out of 5 stars,Awesome deal,59159.6
rebekadenega-0,5 out of 5 stars,First Purchase Great Purchase,59159.6
rachamcge_0,5 out of 5 stars,"Best deal, best laptop",59159.6
juana.shorty,5 out of 5 stars,"Great buy, it's what I expected",59159.6
escorobi,5 out of 5 stars,Beautiful,59159.6
bkamm55,5 out of 5 stars,AAAAAAAA+++++++,59159.6
fcomdave_5,5 out of 5 stars,Very good,59159.6
bertito25,5 out of 5 stars,Apple MacBook Air  1,59159.6
ram2301,5 out of 5 stars,Great Value!,59159.6
grimsus2013,5 out of 5 stars,My Macbook air,59159.6
darkget_0,5 out of 5 stars,macbook,59159.6
vmomoo7,5 out of 5 stars,Great buy,59159.6
flyinelvi1,5 out of 5 stars,Mac Air,59159.6
israabdelnab_0,5 out of 5 stars,My first macbook,59159.6
vz1960.414,5 out of 5 stars,Laptop ,59159.6
aavila2005,5 out of 5 stars,Great Buy,59159.6
haljara7,4 out of 5 stars,Good quality,59159.6
amiko_899,5 out of 5 stars,Love it!,59159.6
computerrfp,5 out of 5 stars,New Apple received in good condition,59159.6
summerfun5,5 out of 5 stars,Awesome!,59159.6
